symbol, Debt/Equity,Dividends $,Dividends %,EPS,Long-Term Debt,Market Capitalization,Net Income Mil,Operating Income Mil,R&D,ROE %,Revenue Mil,Share Outstanding,Shares Mil,Short-Term Debt,Total Debt,Total Liabilities,currency,cust. regression origin,cust. regression slope,key_data,latest_price,price_data
ADN.to, 0.33, 0.83, 0.0433420365535248, 1.55, 19.99, 325.54999999999995, 26.0, 23.0, 0.0, 9.56, 85.0, 17.0, 17.0, 0.0, 19.99, 40.3, CAD, 19.54898622589532, -0.00021408894136166587, None, 19.15, None
ADW-A.to, 0.5, 0.05, 0.0029256875365710946, 0.69, 25.06, 751.96, 29.0, 41.0, 0.0, 14.42, 371.0, 44.0, 44.0, 11.1, 36.16, 50.25, CAD, 16.815844636844634, 0.011249158249158247, None, 17.09, None
AEF.to, 0.0, 0.0, 0.0, -8.16, 0.0, 92.4, -536.0, -21.0, 0.0, -123.37, 365.0, 84.0, 84.0, 40.18, 40.18, 60.83, CAD, 0.9973146836328649, 0.01255570860116315, None, 1.1, None
AEM.to, 0.35, 0.43, 0.0099124020285846, 0.69, 20.79, 10150.92, 163.0, 338.0, 0.0, 3.33, 2280.0, 234.0, 234.0, 0.0, 20.79, 40.42, USD, 52.21856386374568, 0.027226638681184148, None, 43.38, None
AEZS.to, 0.0, 0.0, 0.0, 0.07, 0.0, 34.08, 2.0, 5.0, 25.58, 24.38, 25.0, 16.0, 16.0, 0.0, 0.0, 69.94, USD, 2.5997490707945254, -0.003487231623595259, None, 2.13, None
AFN.to, 1.87, 2.4, 0.03880983182406209, 2.02, 50.28, 989.44, 33.0, 91.0, 0.0, 10.11, 853.0, 16.0, 16.0, 0.01, 50.29, 73.15, CAD, 60.11295323363507, -0.05433300537845992, None, 61.84, None
AGF-B.to, 0.18, 0.32, 0.054514480408858604, 0.83, 12.28, 475.47, 68.0, 77.0, 0.0, 7.24, 460.0, 81.0, 81.0, 0.0, 12.28, 30.36, CAD, 6.3631043880362075, 0.00372146792601338, None, 5.87, None
AGI.to, 0.0, 0.02, 0.0034071550255536627, 0.06, 0.0, 2089.7200000000003, 16.0, 64.0, 0.0, 0.68, 633.0, 356.0, 356.0, 0.0, 0.0, 19.9, USD, 6.527779308233854, 0.003960295596659235, None, 5.87, None
AGT.to, 2.99, 0.6, 0.032948929159802305, -2.21, 42.39, 437.04, -51.0, 9.0, 0.0, -23.89, 1580.0, 24.0, 24.0, 1.69, 44.08, 72.82, CAD, 17.118042043814782, -0.0074710087891905995, None, 18.21, None
AI.to, 0.82, 0.89, 0.06468023255813954, 0.94, 44.49, 591.68, 32.0, 0.0, 0.0, 9.07, 48.0, 43.0, 43.0, 0.0, 44.49, 45.51, CAD, 13.600022607022611, -0.0094064454064454, None, 13.76, None
AIF.to, 0.51, 0.6, 0.019639934533551555, 0.04, 26.46, 1191.45, 3.0, 31.0, 0.0, 0.65, 500.0, 39.0, 39.0, 0.02, 26.48, 47.9, CAD, 29.45057512352966, 0.013874437010800643, None, 30.55, None
AII.to, 0.78, 0.0, 0.0, 0.06, 25.94, 138.4, 9.0, 7.0, 0.0, 18.48, 61.0, 173.0, 173.0, 4.32, 30.26, 66.59, CAD, 0.9465848965848971, -0.0038287638287638295, None, 0.8, None
AIM.to, 0.0, 0.0, 0.0, -1.57, 1.97, 633.84, -223.0, -19.0, 0.0, 0.0, 1642.0, 152.0, 152.0, 7.38, 9.35, 105.42, CAD, 3.8670424592242774, -0.0191985657440203, None, 4.17, None
AKG.to, 0.0, 0.0, 0.0, -0.66, 0.0, 225.72000000000003, -142.0, 58.0, 0.0, -38.46, 258.0, 209.0, 209.0, 0.0, 0.0, 44.43, USD, 1.3321509466964017, -0.0002960339323975682, None, 1.08, None
AKT-A.to, 0.0, 0.34, 0.06451612903225808, -1.92, 0.0, 94.85999999999999, -35.0, -23.0, 0.0, -18.5, 78.0, 18.0, 18.0, 0.0, 0.0, 13.69, CAD, 4.99540726529363, 0.019052855393764476, None, 5.27, None
AKU-U.to, 0.73, 0.0, 0.0, -0.21, 37.59, 191.25, -11.0, 1.0, 0.0, -32.94, 73.0, 51.0, 51.0, 1.81, 39.400000000000006, 47.23, USD, 3.9032704425204425, 0.0021119528619528622, None, 3.75, None
ALA.to, 0.86, 2.16, 0.09452954048140044, 0.32, 31.34, 4021.6000000000004, 121.0, 283.0, 0.0, 1.57, 2797.0, 176.0, 176.0, 2.07, 33.41, 51.43, CAD, 26.059011041147404, -0.010239953649044557, None, 22.85, None
ALB.to, 0.0, 0.0, 0.0, -0.21, 0.0, 1765.76, -13.0, -12.0, 0.0, -77.08, 2.0, 62.0, 62.0, 0.0, 0.0, 26.15, USD, 27.67792223096769, -0.014530521666885303, None, 28.48, None
ALC.to, 0.38, 0.36, 0.027272727272727275, 1.24, 22.52, 567.6, 51.0, 56.0, 0.0, 7.92, 475.0, 43.0, 43.0, 5.1, 27.619999999999997, 40.73, CAD, 14.181892583847125, 0.0074617385981022325, None, 13.2, None
ALO.to, 0.04, 0.0, 0.0, 0.15, 2.9, 40.32, 9.0, 8.0, 0.0, 4.15, 95.0, 48.0, 48.0, 1.86, 4.76, 31.15, USD, 0.9751974288337926, 0.01592575101666011, None, 0.84, None
ALS.to, 0.26, 0.12, 0.00989282769991756, -1.32, 17.55, 521.59, -57.0, 6.0, 0.0, -17.0, 37.0, 43.0, 43.0, 3.42, 20.97, 31.94, CAD, 12.398381061699247, 0.012705780751235303, None, 12.13, None
AMM.to, 0.0, 0.0, 0.0, -0.04, 0.0, 82.62, -5.0, -6.0, 0.0, -7.26, 0.0, 102.0, 102.0, 0.0, 0.0, 3.63, CAD, 0.8045660063841875, 0.0022408937863483314, None, 0.81, None
ANX.to, 0.01, 0.0, 0.0, -0.06, 0.78, 17.55, -3.0, -2.0, 0.0, -9.77, 28.0, 65.0, 65.0, 0.33, 1.11, 18.84, CAD, 0.2802078796624251, 0.0010317241680878047, None, 0.27, None
AOI.to, 0.0, 0.0, 0.0, -0.1, 0.0, 617.74, -50.0, -7.0, 0.0, -5.21, 0.0, 461.0, 461.0, 0.0, 0.0, 2.95, USD, 1.2036252568979844, 0.000393108574926757, None, 1.34, None
AP-UN.to, 0.44, 1.55, 0.034398579671549044, 3.92, 26.0, 4145.52, 363.0, 222.0, 0.0, 10.25, 428.0, 92.0, 92.0, 3.74, 29.740000000000002, 35.14, CAD, 43.9736233110324, -0.023950741178013903, None, 45.06, None
APH.to, 0.02, 0.0, 0.0, 0.18, 2.17, 3245.3, 29.0, -6.0, 1.33, 4.1, 37.0, 166.0, 166.0, 0.21, 2.38, 10.77, CAD, 13.39890738554375, -0.014966023875114772, None, 19.55, None
APR-UN.to, 1.51, 0.8, 0.070859167404783, 1.32, 72.32, 304.83, 39.0, 35.0, 0.0, 22.63, 44.0, 27.0, 27.0, 0.0, 72.32, 100.0, CAD, 11.027910883729078, -0.007547706502251955, None, 11.29, None
APS.to, 0.0, 0.0, 0.0, -0.78, 0.0, 99.39999999999999, -23.0, -23.0, 0.0, -169.35, 0.0, 28.0, 28.0, 0.0, 0.0, 12.45, USD, 4.142973676155495, 0.0023146617692072257, None, 3.55, None
APY.to, 0.03, 0.09, 0.04186046511627907, 0.15, 2.26, 393.45, 26.0, 31.0, 0.0, 12.22, 39.0, 183.0, 183.0, 0.0, 2.26, 15.73, GBP, 2.3208072062617506, -0.0017054090690454312, None, 2.15, None
AQA.to, 0.0, 0.0, 0.0, -0.04, 0.0, 68.64, -13.0, -11.0, 0.0, -855.79, 0.0, 312.0, 312.0, 0.0, 0.0, 101.72, USD, 0.2650133368315187, 1.0013555468100966e-05, None, 0.22, None
AQN.to, 1.2, 0.48, 0.03529411764705882, 0.4, 40.92, 5820.8, 182.0, 394.0, 0.0, 7.02, 1675.0, 428.0, 428.0, 0.16, 41.08, 63.66, USD, 13.204925335607154, -0.005238729284183831, None, 13.6, None
AQY-A.to, 0.0, 0.0, 0.0, 2.03, 0.0, 127.26999999999998, 8.0, 1.0, 0.0, 0.0, 4.0, 13.0, 13.0, 0.0, 0.0, 104.46, CAD, 9.758149700467882, -0.00011336306790852177, None, 9.79, None
AR.to, 0.01, 0.0, 0.0, 0.1, 1.15, 293.56, 18.0, 29.0, 0.0, 2.91, 171.0, 179.0, 179.0, 0.0, 1.15, 8.98, USD, 1.9275138834229746, 0.004657964930692205, None, 1.64, None
ARE.to, 0.61, 0.5, 0.030175015087507542, 0.58, 16.7, 1193.04, 35.0, 41.0, 0.0, 4.73, 2743.0, 72.0, 72.0, 8.24, 24.939999999999998, 72.52, CAD, 15.60039385193932, 0.020139271502907872, None, 16.57, None
ARG.to, 0.45, 0.0, 0.0, 0.08, 19.58, 145.6, 15.0, 27.0, 0.0, 15.78, 141.0, 182.0, 182.0, 7.93, 27.509999999999998, 56.85, USD, 0.8008694958240413, 0.0022294153657790032, None, 0.8, None
ARX.to, 0.24, 0.6, 0.04484304932735426, 1.3, 14.24, 4723.14, 462.0, 406.0, 0.0, 13.21, 1100.0, 353.0, 353.0, 1.43, 15.67, 41.1, CAD, 14.39979019633565, -0.007658227294590932, None, 13.38, None
ASM.to, 0.04, 0.0, 0.0, 0.04, 1.15, 63.72, 2.0, 4.0, 0.0, 3.52, 35.0, 54.0, 54.0, 8.03, 9.18, 33.17, USD, 1.3193170886352716, 0.004178123223577766, None, 1.18, None
ASND.to, 0.0, 0.0, 0.0, 0.13, 0.0, 52.36000000000001, 9.0, 12.0, 0.0, 42.08, 92.0, 77.0, 77.0, 0.0, 0.0, 55.79, USD, 0.6946739909921726, 0.003430167475622021, None, 0.68, None
ASO.to, 0.87, 0.0, 0.0, -0.1, 32.44, 211.82999999999998, -5.0, 23.0, 0.0, -4.34, 225.0, 69.0, 69.0, 3.33, 35.769999999999996, 62.26, USD, 3.882534741352922, 0.004720932266386803, None, 3.07, None
ASP.to, 0.42, 0.0, 0.0, -0.07, 13.41, 53.25, -16.0, -14.0, 28.7, -182.46, 7.0, 213.0, 213.0, 12.25, 25.66, 68.38, USD, 0.2551835672744767, 0.0004137041409768685, None, 0.25, None
ASR.to, 0.41, 0.0, 0.0, 0.19, 25.97, 633.44, 57.0, 57.0, 0.0, 8.01, 219.0, 296.0, 296.0, 2.98, 28.95, 37.34, USD, 2.598762757444575, -0.0035711006165551626, None, 2.14, None
ATA.to, 0.42, 0.0, 0.0, 0.56, 20.84, 2252.2400000000002, 52.0, 91.0, 0.0, 7.08, 1151.0, 94.0, 94.0, 0.19, 21.03, 50.18, CAD, 21.58434253793345, -0.034116117888845145, None, 23.96, None
ATD-A.to, 1.06, 0.29, 0.004425453990538684, 3.12, 36.99, 37089.98, 1765.0, 2146.0, 0.0, 24.59, 56333.0, 566.0, 566.0, 0.2, 37.190000000000005, 65.23, USD, 61.26693797280161, -0.035183807774716865, None, 65.53, None
ATH.to, 0.39, 0.0, 0.0, -0.63, 24.13, 705.18, -317.0, -6.0, 0.0, -20.18, 872.0, 511.0, 511.0, 0.0, 24.13, 38.24, CAD, 1.7694874939874945, -0.0033936988936988936, None, 1.38, None
ATL.to, 0.0, 0.0, 0.0, -0.2, 98.62, 22.0, -109.0, -62.0, 0.0, 0.0, 38.0, 550.0, 550.0, 0.06, 98.68, 114.01, CAD, 0.03973931960295599, 4.744413835322933e-06, None, 0.04, None
ATP.to, 0.0, 0.0, 0.0, -0.52, 77.96, 360.96, -58.0, 49.0, 0.0, -397.3, 355.0, 128.0, 128.0, 9.05, 87.00999999999999, 102.14, USD, 2.875362477589752, -0.0008959945778127583, None, 2.82, None
ATZ.to, 0.0, 0.0, 0.0, 0.53, 0.0, 1984.76, 61.0, 99.0, 0.0, 23.7, 765.0, 116.0, 116.0, 20.13, 20.13, 48.81, CAD, 17.30223136123136, -0.04146657046657047, None, 17.11, None
AUG.to, 0.0, 0.0, 0.0, 0.09, 0.0, 111.19999999999999, 5.0, 1.0, 0.0, 7.52, 0.0, 80.0, 80.0, 0.0, 0.0, 6.46, CAD, 1.298756132756133, 0.003715728715728716, None, 1.39, None
AUMN.to, 0.0, 0.0, 0.0, -0.05, 0.0, 31.68, -5.0, -7.0, 0.0, -64.53, 7.0, 96.0, 96.0, 0.0, 0.0, 42.7, USD, 0.3229643403734314, 0.0019362237089509825, None, 0.33, None
AUP.to, 0.0, 0.0, 0.0, -0.51, 0.0, 614.88, -48.0, -53.0, 0.0, -29.71, 0.0, 84.0, 84.0, 0.0, 0.0, 15.3, USD, 7.4344737417464675, -0.003390441208623028, None, 7.32, None
AVL.to, 0.0, 0.0, 0.0, -0.02, 0.0, 14.420000000000002, -3.0, -3.0, 0.0, -2.82, 0.0, 206.0, 206.0, 0.0, 0.0, 3.71, CAD, 0.06987305960033235, 0.0005140583322401507, None, 0.07, None
AVP.to, 0.0, 0.0, 0.0, -0.13, 1.73, 16.650000000000002, -42.0, -38.0, 0.0, 0.0, 161.0, 333.0, 333.0, 66.69, 68.42, 155.19, CAD, 0.050050986050985936, -4.810004810004848e-06, None, 0.05, None
AW-UN.to, 0.0, 1.63, 0.04508990318118949, 1.25, 0.0, 469.95, 16.0, 34.0, 0.0, 787.21, 40.0, 13.0, 13.0, 0.0, 0.0, 163.76, CAD, 35.55789861821681, -0.03512202107656653, None, 36.15, None
AXR.to, 0.0, 0.0, 0.0, -0.09, 0.0, 137.0, -9.0, -9.0, 0.0, -8.14, 13.0, 100.0, 100.0, 0.0, 0.0, 8.03, CAD, 1.4955393108574926, 0.0031463771918317372, None, 1.37, None
AYM.to, 0.0, 0.0, 0.0, 0.23, 0.0, 450.21000000000004, 31.0, 36.0, 0.0, 13.22, 183.0, 129.0, 129.0, 0.0, 0.0, 30.74, EUR, 3.7636299794481602, 0.003054265599720141, None, 3.49, None
AZZ.to, 0.0, 0.0, 0.0, -0.07, 0.0, 22.14, -4.0, -2.0, 0.0, -14.39, 0.0, 82.0, 82.0, 0.0, 0.0, 24.6, USD, 0.2550094013730379, 3.0477939568848725e-05, None, 0.27, None
BAD.to, 0.29, 0.47, 0.01724770642201835, 1.77, 18.14, 1008.25, 66.0, 81.0, 0.0, 21.24, 544.0, 37.0, 37.0, 0.0, 18.14, 38.05, CAD, 31.53946482137392, -0.05206786479513753, None, 27.25, None
BAM-A.to, 3.5, 0.58, 0.010516772438803263, 2.65, 57.36, 53991.85, 2811.0, 8383.0, 0.0, 11.11, 51248.0, 979.0, 979.0, 0.0, 57.36, 80.77, USD, 56.65550767414404, -0.053211334120425044, None, 55.15, None
BAR.to, 0.0, 0.0, 0.0, -0.02, 0.0, 21.6, -3.0, -2.0, 0.0, -5.36, 0.0, 135.0, 135.0, 0.0, 0.0, 13.75, CAD, 0.10018405920678639, 0.0019468603786785609, None, 0.16, None
BB.to, 0.34, 0.0, 0.0, -0.61, 21.86, 7206.54, -326.0, -165.0, 26.26, -12.75, 910.0, 537.0, 537.0, 0.0, 21.86, 35.89, USD, 13.025178822860633, 0.01853520048974594, None, 13.42, None
BBD-A.to, 0.0, 0.0, 0.0, -0.1, 39.5, 10885.76, -189.0, 573.0, 1.37, 0.0, 16759.0, 2336.0, 2336.0, 0.0, 39.5, 124.87, USD, 5.104288086492634, -0.00948931960295597, None, 4.66, None
BBL-A.to, 0.21, 0.0, 0.0, 1.0, 13.43, 93.5, 11.0, 21.0, 0.0, 7.09, 163.0, 11.0, 11.0, 0.78, 14.209999999999999, 34.51, CAD, 8.315896289737196, -0.000555151077878351, None, 8.5, None
BBU-UN.to, 3.03, 0.19, 0.0032657270539704366, -1.52, 37.01, 7156.14, -82.0, 919.0, 0.0, -6.05, 32988.0, 123.0, 123.0, 5.01, 42.019999999999996, 100.0, USD, 56.27437404346493, -0.08277677204949929, None, 58.18, None
BCB.to, 1.01, 0.24, 0.011988011988011988, 3.05, 39.93, 2822.82, 432.0, 83.0, 0.0, 41.91, 2316.0, 141.0, 141.0, 0.22, 40.15, 60.48, USD, 21.232001443001458, -0.013797979797979785, None, 20.02, None
BCE.to, 1.12, 2.94, 0.05649500384319754, 3.05, 32.66, 46836.0, 2880.0, 5350.0, 0.0, 17.62, 23071.0, 900.0, 900.0, 10.19, 42.849999999999994, 63.72, CAD, 53.38727943941581, 0.015621518212427311, None, 52.04, None
BCI.to, 1.08, 0.6, 0.017830609212481426, 0.83, 37.58, 504.75, 12.0, 25.0, 0.0, 12.42, 270.0, 15.0, 15.0, 6.88, 44.46, 65.22, CAD, 34.2836664480301, -0.003268704359613443, None, 33.65, None
BDI.to, 0.38, 0.03, 0.00970873786407767, -1.6, 21.65, 169.95, -85.0, -8.0, 0.0, -31.49, 162.0, 55.0, 55.0, 0.0, 21.65, 42.94, CAD, 3.774839323975687, -0.00956607197516289, None, 3.09, None
BDT.to, 0.19, 0.39, 0.051248357424441525, -0.03, 3.74, 327.23, -1.0, -2.0, 0.0, -0.75, 1369.0, 43.0, 43.0, 12.03, 15.77, 80.2, CAD, 7.34630875858148, 0.009226201408019592, None, 7.61, None
BEI-UN.to, 0.78, 1.52, 0.029897718332022028, 1.97, 39.93, 2491.1600000000003, 103.0, 179.0, 0.0, 3.35, 427.0, 49.0, 49.0, 4.19, 44.12, 48.89, CAD, 49.10927121868032, -0.037529384756657506, None, 50.84, None
BEK-B.to, 0.0, 0.8, 0.05610098176718093, 1.35, 0.0, 28.52, 2.0, 2.0, 0.0, 7.31, 3.0, 2.0, 2.0, 0.0, 0.0, 12.67, CAD, 14.12481483667846, 0.009719992129083038, None, 14.26, None
BHC.to, 7.17, 0.0, 0.0, -4.69, 72.35, 10260.8, -1640.0, 263.0, 4.21, -44.34, 8505.0, 352.0, 352.0, 0.67, 73.02, 89.91, USD, 32.76805618960165, -0.08584774148410514, None, 29.15, None
BIG-D.to, 0.0, 0.17, 0.009855072463768117, 2.65, 0.0, 17.25, 3.0, 0.0, 0.0, 14.82, 3.0, 1.0, 1.0, 0.0, 0.0, 35.4, CAD, 17.509514298832485, -0.005498163452708909, None, 17.25, None
BIR.to, 0.37, 0.1, 0.02288329519450801, -0.28, 22.74, 1162.42, -72.0, 123.0, 0.0, -4.47, 588.0, 266.0, 266.0, 0.0, 22.74, 37.13, CAD, 5.239059862696226, -0.011904936814027727, None, 4.37, None
BK.to, 0.0, 1.2, 0.09523809523809523, 1.89, 0.0, 138.6, 20.0, 0.0, 0.0, 13.21, 22.0, 11.0, 11.0, 0.0, 0.0, 46.88, CAD, 12.344202566793468, 0.007859351086623811, None, 12.6, None
BKI.to, 0.0, 0.0, 0.0, 0.0, 0.0, 11.200000000000001, -3.0, -3.0, 0.0, -78.42, 0.0, 160.0, 160.0, 0.0, 0.0, 8.53, USD, 0.08736374568192729, 0.00013868118413572962, None, 0.07, None
BKX.to, 0.25, 0.0, 0.0, -0.03, 18.53, 95.53, -4.0, 4.0, 0.0, -3.25, 20.0, 233.0, 233.0, 0.0, 18.53, 25.2, USD, 0.4479328129782675, 0.0010938169574533213, None, 0.41, None
BLDP.to, 0.05, 0.0, 0.0, -0.09, 0.0, 878.89, -14.0, -10.0, 23.04, -11.79, 119.0, 179.0, 179.0, 0.0, 0.0, 31.48, USD, 4.051930845249027, 0.0011040491495036939, None, 4.91, None
BLU.to, 0.0, 0.0, 0.0, -0.08, 0.0, 96.0, -7.0, -7.0, 0.0, -39.29, 0.0, 96.0, 96.0, 0.0, 0.0, 4.4, CAD, 0.8146002230093137, -0.003183064410337137, None, 1.0, None
BLX.to, 4.33, 0.61, 0.030933062880324543, 0.01, 67.04, 1498.7199999999998, 1.0, 89.0, 4.39, 0.15, 456.0, 76.0, 76.0, 7.22, 74.26, 84.52, CAD, 19.06478020464384, 0.031157221566312482, None, 19.72, None
BMO.to, 0.14, 3.72, 0.03495583536929149, 7.4, 0.73, 68853.74, 4982.0, 0.0, 0.0, 12.1, 22594.0, 647.0, 647.0, 0.0, 0.73, 94.15, CAD, 106.68592376142377, -0.08031625781625783, None, 106.42, None
BNE.to, 0.6, 1.2, 0.06589785831960461, 0.35, 26.44, 600.9300000000001, 11.0, 40.0, 0.0, 2.2, 211.0, 33.0, 33.0, 0.87, 27.310000000000002, 56.08, CAD, 19.691222725086355, -0.04660420219511128, None, 18.21, None
BNG.to, 0.33, 0.0, 0.0, -0.13, 17.53, 10.200000000000001, -13.0, 2.0, 0.0, -43.02, 11.0, 102.0, 102.0, 19.02, 36.55, 46.52, CAD, 0.11788128033582584, 9.353272989636625e-05, None, 0.1, None
BNP.to, 0.54, 0.04, 0.029850746268656716, -0.83, 28.0, 353.76000000000005, -212.0, -374.0, 0.0, -13.32, 342.0, 264.0, 264.0, 0.0, 28.0, 48.42, CAD, 1.5390072587345323, -0.0014123485941667758, None, 1.34, None
BNS.to, 0.09, 3.22, 0.04268858544345751, 6.74, 0.6, 92175.46, 8384.0, 0.0, 0.0, 14.43, 27652.0, 1222.0, 1222.0, 0.0, 0.6, 93.12, CAD, 75.265348900258, 0.03270317897590623, None, 75.43, None
BOS.to, 0.5, 0.22, 0.018835616438356163, 0.53, 26.4, 268.64, 12.0, 17.0, 0.7, 10.6, 308.0, 23.0, 23.0, 2.49, 28.89, 47.54, USD, 14.479283396737944, -0.014324456688093049, None, 11.68, None
BOY.to, 0.0, 0.0, 0.0, 0.2, 0.0, 13.3, 6.0, 14.0, 0.0, 5.28, 289.0, 35.0, 35.0, 38.42, 38.42, 54.56, USD, 0.3693972845336485, 0.0009769775678866587, None, 0.38, None
BPF-UN.to, 0.29, 1.38, 0.07981492192018508, 1.16, 19.95, 414.96, 27.0, 43.0, 0.0, 9.69, 45.0, 24.0, 24.0, 0.0, 19.95, 32.0, CAD, 18.093805697669335, 0.020440530849621764, None, 17.29, None
BPY-UN.to, 4.39, 1.22, 0.04661826518914788, 1.75, 65.53, 8793.12, 495.0, 2266.0, 0.0, 6.88, 6064.0, 336.0, 336.0, 13.57, 79.1, 100.0, USD, 26.093206196160743, -0.00720396606760243, None, 26.17, None
BR.to, 0.15, 0.0, 0.0, -0.07, 6.51, 37.94, -0.0, -0.0, 0.0, -1.26, 46.0, 7.0, 7.0, 1.26, 7.77, 31.53, CAD, 5.187091149591152, -0.0010247715247715223, None, 5.42, None
BRB.to, 0.28, 0.06, 0.014962593516209476, 0.01, 12.08, 140.35, 0.0, 1.0, 0.0, 0.73, 46.0, 35.0, 35.0, 2.59, 14.67, 41.76, CAD, 4.043569635751454, 0.0017490052035506586, None, 4.01, None
BRE.to, 0.0, 1.35, 0.08598726114649682, 0.4, 72.13, 204.1, 4.0, 27.0, 0.0, 0.0, 44.0, 13.0, 13.0, 0.0, 72.13, 141.25, CAD, 17.834281254099437, -0.0011958546504001082, None, 15.7, None
BRY.to, 0.33, 0.0, 0.0, -0.11, 11.39, 6.0, -3.0, 1.0, 0.0, -9.58, 121.0, 24.0, 24.0, 40.3, 51.69, 65.77, CAD, 0.2721953955135773, 0.0027125147579693037, None, 0.25, None
BSO-UN.to, 0.0, 0.6, 0.13303769401330376, 0.04, 0.0, 45.099999999999994, 1.0, 1.0, 0.0, 1.84, 2.0, 10.0, 10.0, 0.0, 0.0, 12.15, CAD, 4.609175084175083, 0.000368927368927368, None, 4.51, None
BSX.to, 0.0, 0.0, 0.0, -0.02, 0.0, 116.5, -7.0, -8.0, 0.0, -9.69, 0.0, 466.0, 466.0, 0.0, 0.0, 7.28, CAD, 0.18602494643403766, 0.0011353579080851807, None, 0.25, None
BTE.to, 0.91, 0.0, 0.0, -0.23, 39.02, 846.0899999999999, -55.0, 37.0, 0.0, -2.84, 1187.0, 237.0, 237.0, 0.0, 39.02, 57.16, CAD, 4.387347632165813, 0.0006685032139577593, None, 3.57, None
BTO.to, 0.18, 0.0, 0.0, 0.12, 11.0, 2849.54, 119.0, 219.0, 0.0, 7.57, 957.0, 986.0, 986.0, 11.04, 22.04, 37.46, USD, 3.003563382745201, 0.005873584328129783, None, 2.89, None
BU.to, 7.42, 0.0, 0.0, -0.15, 59.3, 16.77, -6.0, -3.0, 0.0, -198.31, 0.0, 39.0, 39.0, 0.0, 59.3, 92.02, CAD, 0.4030291223927587, 0.0017914207005116092, None, 0.43, None
BUI.to, 0.0, 0.0, 0.0, -0.59, 0.12, 90.0, -15.0, 2.0, 0.0, -8.21, 316.0, 25.0, 25.0, 14.29, 14.409999999999998, 51.91, CAD, 3.4731584677948355, 0.004899776990686084, None, 3.6, None
BXE.to, 0.55, 0.0, 0.0, -1.62, 31.53, 69.44, -83.0, -41.0, 0.0, -10.65, 262.0, 56.0, 56.0, 0.0, 31.53, 43.02, CAD, 1.1809400498491396, 0.003606978879706153, None, 1.24, None
BYD-UN.to, 0.47, 0.52, 0.004063769928102532, 3.72, 20.92, 2431.24, 77.0, 114.0, 0.0, 19.96, 1716.0, 19.0, 19.0, 1.29, 22.21, 54.09, CAD, 127.69445450172726, -0.17679832961651135, None, 127.96, None
