symbol, Debt/Equity,Dividends $,Dividends %,EPS,Long-Term Debt,Market Capitalization,Net Income Mil,Operating Income Mil,R&D,ROE %,Revenue Mil,Share Outstanding,Shares Mil,Short-Term Debt,Total Debt,Total Liabilities,currency,cust. regression origin,cust. regression slope,key_data,latest_price,price_data
AAB.to, 0.0, 0.0, 0.0, 0.1, 0.0, 8.459999999999999, 9.0, -6.0, 0.0, 24.12, 0.0, 94.0, 94.0, 0.0, 0.0, 2.31, CAD, 0.09950902969084802, 0.0006927281472736016, None, 0.09, None
AAV.to, 0.19, 0.0, 0.0, 0.15, 14.66, 624.16, 29.0, 1.0, 0.0, 2.27, 198.0, 188.0, 188.0, 0.0, 14.66, 23.3, CAD, 4.028835672744764, -0.0008629585902313175, None, 3.32, None
ABT.to, 0.0, 0.25, 0.032679738562091505, 0.08, 0.0, 306.0, 3.0, 3.0, 21.42, 0.0, 94.0, 40.0, 40.0, 0.0, 0.0, 158.24, USD, 7.7406065634702, -0.009438257029166121, None, 7.65, None
ABX.to, 0.61, 0.12, 0.009097801364670205, -0.23, 24.44, 15392.73, -261.0, 2011.0, 0.0, -2.75, 7723.0, 1167.0, 1167.0, 2.91, 27.35, 59.97, USD, 14.585932463159741, 0.018187699505881325, None, 13.19, None
AC.to, 1.68, 0.0, 0.0, 5.36, 32.61, 7562.4, 1493.0, 1314.0, 0.0, 58.5, 17104.0, 276.0, 276.0, 2.19, 34.8, 80.6, CAD, 23.406566006384203, 0.017955179500634053, None, 27.4, None
ACB.to, 0.15, 0.0, 0.0, -0.04, 12.43, 3501.3999999999996, -13.0, -47.0, 2.09, -1.66, 42.0, 410.0, 410.0, 0.14, 12.57, 17.14, CAD, 7.401059622195988, 0.01713282172373082, None, 8.54, None
ACD.to, 0.28, 0.36, 0.036, 0.96, 8.07, 80.0, 8.0, 16.0, 0.0, 10.31, 39.0, 8.0, 8.0, 58.38, 66.45, 71.68, CAD, 9.632161288206738, -0.008348222484586122, None, 10.0, None
ACO-X.to, 2.76, 1.41, 0.037470103640712196, 1.22, 53.67, 4327.450000000001, 139.0, 1093.0, 0.0, 3.88, 4952.0, 115.0, 115.0, 1.4, 55.07, 80.53, CAD, 38.73351781888146, 0.019637500546591465, None, 37.63, None
ACQ.to, 0.87, 0.4, 0.03167062549485352, -0.27, 22.74, 341.01000000000005, -7.0, 67.0, 0.0, -1.56, 3069.0, 27.0, 27.0, 44.09, 66.83, 73.88, CAD, 11.751336066290605, 0.0804064235427872, None, 12.63, None
ACR-UN.to, 0.58, 0.72, 0.05172413793103448, 2.56, 33.06, 459.36, 86.0, 39.0, 0.0, 21.74, 104.0, 33.0, 33.0, 0.8, 33.86, 43.23, CAD, 14.539646125759765, -0.026078107919017008, None, 13.92, None
AD.to, 0.13, 1.62, 0.0821917808219178, 0.26, 10.99, 729.27, 10.0, 36.0, 0.0, 1.53, 97.0, 37.0, 37.0, 0.0, 10.99, 17.77, CAD, 17.794883335519703, -0.006904455813546728, None, 19.71, None
