year,country_origin_id,country_destination_id,hs92_product_id,export_val,export_val_pct
2016,CAN,ALL,030520,32130007.2,0.0088%
2016,CAN,ALL,030530,16541029.39,0.0045%
2016,CAN,ALL,030541,6314690.24,0.0017%
2016,CAN,ALL,030542,33998329.12,0.0093%
2016,CAN,ALL,030549,1038531.02,0.00028%
2016,CAN,ALL,030551,12668737.28,0.0035%
2016,CAN,ALL,030559,13472669.58,0.0037%
2016,CAN,ALL,030561,520652.22,0.00014%
2016,CAN,ALL,030562,7938531.77,0.0022%
2016,CAN,ALL,030569,13502529.26,0.0037%
2016,CAN,ALL,030611,2374682.07,0.00065%
2016,CAN,ALL,030612,654682675.15,0.18%
2016,CAN,ALL,030613,298295969.59,0.082%
2016,CAN,ALL,030614,712265915.55,0.20%
2016,CAN,ALL,030619,788235.22,0.00022%
2016,CAN,ALL,030621,9146060,0.0025%
2016,CAN,ALL,030622,661898047.41,0.18%
2016,CAN,ALL,030623,3775451.13,0.0010%
2016,CAN,ALL,030624,103062770.48,0.028%
2016,CAN,ALL,030629,315170.26,0.000086%
2016,CAN,ALL,030710,32156197.48,0.0088%
2016,CAN,ALL,030721,57298121.14,0.016%
2016,CAN,ALL,030729,93204329.23,0.026%
2016,CAN,ALL,030731,37513099.33,0.010%
2016,CAN,ALL,030739,2013291.99,0.00055%
2016,CAN,ALL,030741,1087,3.0e-7%
2016,CAN,ALL,030749,186830.37,0.000051%
2016,CAN,ALL,030751,10975.71,0.0000030%
2016,CAN,ALL,030759,882645.24,0.00024%
2016,CAN,ALL,030760,2288342.82,0.00063%
2016,CAN,ALL,030791,80140681.47,0.022%
2016,CAN,ALL,030799,91039076.08,0.025%
2016,CAN,ALL,040110,131898.79,0.000036%
2016,CAN,ALL,040120,4736257.78,0.0013%
2016,CAN,ALL,040130,66989.84,0.000018%
2016,CAN,ALL,040210,45186376.38,0.012%
2016,CAN,ALL,040221,7770795.1,0.0021%
2016,CAN,ALL,040229,476164.67,0.00013%
2016,CAN,ALL,040291,662534.57,0.00018%
2016,CAN,ALL,040299,785290.41,0.00022%
2016,CAN,ALL,040310,14096200.42,0.0039%
2016,CAN,ALL,040390,6063591.58,0.0017%
2016,CAN,ALL,040410,33734431.3,0.0092%
2016,CAN,ALL,040490,23845185.5,0.0065%
2016,CAN,ALL,040500,4096053.76,0.0011%
2016,CAN,ALL,040610,9722423.02,0.0027%
2016,CAN,ALL,040620,249891.31,0.000069%
2016,CAN,ALL,040630,1429618.01,0.00039%
2016,CAN,ALL,040640,46739.77,0.000013%
2016,CAN,ALL,040690,37984623.67,0.010%
2016,CAN,ALL,040700,49178420.34,0.013%
2016,CAN,ALL,040811,6821,0.0000019%
2016,CAN,ALL,040819,5702432.78,0.0016%
2016,CAN,ALL,040891,106630.77,0.000029%
2016,CAN,ALL,040899,9714945.76,0.0027%
2016,CAN,ALL,040900,53886102.13,0.015%
2016,CAN,ALL,041000,174401.31,0.000048%
2016,CAN,ALL,050290,26231.26,0.0000072%
2016,CAN,ALL,050400,63117718.41,0.017%
2016,CAN,ALL,050510,4054811.47,0.0011%
2016,CAN,ALL,050590,593947.89,0.00016%
2016,CAN,ALL,050610,17286.1,0.0000047%
2016,CAN,ALL,050690,6970526.24,0.0019%
2016,CAN,ALL,050710,868251.45,0.00024%
2016,CAN,ALL,050790,3379012.98,0.00093%
2016,CAN,ALL,050800,1748087.65,0.00048%
2016,CAN,ALL,051000,5757410.88,0.0016%
2016,CAN,ALL,051110,98527286.94,0.027%
2016,CAN,ALL,051191,23036205.04,0.0063%
2016,CAN,ALL,051199,61642552.42,0.017%
2016,CAN,ALL,060110,841927.7,0.00023%
2016,CAN,ALL,060120,16436946.03,0.0045%
2016,CAN,ALL,060210,327280.28,0.000090%
2016,CAN,ALL,060220,10207904.75,0.0028%
2016,CAN,ALL,060230,3486610.77,0.00096%
2016,CAN,ALL,060240,13115768.5,0.0036%
2016,CAN,ALL,060299,216904593.71,0.059%
2016,CAN,ALL,060310,54663266.74,0.015%
2016,CAN,ALL,060390,2381417.7,0.00065%
2016,CAN,ALL,060491,47678667.24,0.013%
2016,CAN,ALL,060499,4428082.12,0.0012%
2016,CAN,ALL,070110,29263055.1,0.0080%
2016,CAN,ALL,070190,196144509.76,0.054%
2016,CAN,ALL,070200,313945282.65,0.086%
2016,CAN,ALL,070310,41709659.49,0.011%
2016,CAN,ALL,070320,439155.2,0.00012%
2016,CAN,ALL,070390,1662069.15,0.00046%
2016,CAN,ALL,070410,13244229.48,0.0036%
2016,CAN,ALL,070420,1155372.66,0.00032%
2016,CAN,ALL,070490,43655565.86,0.012%
2016,CAN,ALL,070511,20062668.2,0.0055%
2016,CAN,ALL,070519,21437360.89,0.0059%
2016,CAN,ALL,070521,6698.2,0.0000018%
2016,CAN,ALL,070529,156989.82,0.000043%
2016,CAN,ALL,070610,40506012.82,0.011%
2016,CAN,ALL,070690,11613984.42,0.0032%
2016,CAN,ALL,070700,187259486.07,0.051%
2016,CAN,ALL,070810,6476440.76,0.0018%
2016,CAN,ALL,070820,4795771.45,0.0013%
