symbol, Debt/Equity,Dividends $,Dividends %,EPS,Long-Term Debt,Market Capitalization,Net Income Mil,Operating Income Mil,R&D,ROE %,Revenue Mil,Share Outstanding,Shares Mil,Short-Term Debt,Total Debt,Total Liabilities,currency,cust. regression origin,cust. regression slope,key_data,latest_price,price_data
AJX.to, 0.0, 0.0, 0.0, -0.07, 0.0, 99.96, -9.0, -9.0, 21.18, -26.62, 48.0, 119.0, 119.0, 0.0, 0.0, 24.26, USD, 0.8419226754649076, 0.0005675464907018604, None, 0.84, None
AKG.to, 0.0, 0.0, 0.0, -0.66, 0.0, 236.17, -142.0, 58.0, 0.0, -38.46, 258.0, 209.0, 209.0, 0.0, 0.0, 44.43, USD, 1.394038332333533, 0.000333233353329334, None, 1.13, None
AKT-A.to, 0.0, 0.34, 0.06227106227106228, -1.92, 0.0, 98.28, -35.0, -23.0, 0.0, -18.5, 78.0, 18.0, 18.0, 0.0, 0.0, 13.69, CAD, 4.91398101379724, 0.026751379724055203, None, 5.46, None
AKU-U.to, 0.73, 0.0, 0.0, -0.21, 37.59, 203.49, -11.0, 1.0, 0.0, -32.94, 73.0, 51.0, 51.0, 1.81, 39.400000000000006, 47.23, USD, 3.961478914217157, 0.0018414217156568693, None, 3.99, None
ALA.to, 0.86, 2.16, 0.08540925266903915, 0.32, 31.34, 4451.04, 121.0, 283.0, 0.0, 1.57, 2797.0, 176.0, 176.0, 2.07, 33.41, 51.43, CAD, 26.936385182963406, -0.024181703659268153, None, 25.29, None
ALB.to, 0.0, 0.0, 0.0, -0.21, 0.0, 1720.5, -13.0, -12.0, 0.0, -77.08, 2.0, 62.0, 62.0, 0.0, 0.0, 26.15, USD, 27.49847108578285, -0.02199142171565685, None, 27.75, None
ALC.to, 0.38, 0.36, 0.025568181818181816, 1.24, 22.52, 605.44, 51.0, 56.0, 0.0, 7.92, 475.0, 43.0, 43.0, 5.1, 27.619999999999997, 40.73, CAD, 14.705428794241149, 0.004279424115176966, None, 14.08, None
ALO.to, 0.04, 0.0, 0.0, 0.15, 2.9, 49.44, 9.0, 8.0, 0.0, 4.15, 95.0, 48.0, 48.0, 1.86, 4.76, 31.15, USD, 1.4590368326334733, 0.012683263347330534, None, 1.03, None
ALS.to, 0.26, 0.12, 0.009615384615384614, -1.32, 17.55, 536.64, -57.0, 6.0, 0.0, -17.0, 37.0, 43.0, 43.0, 3.42, 20.97, 31.94, CAD, 12.419174145170967, 0.020314517096580692, None, 12.48, None
AMM.to, 0.0, 0.0, 0.0, -0.04, 0.0, 84.66, -5.0, -6.0, 0.0, -7.26, 0.0, 102.0, 102.0, 0.0, 0.0, 3.63, CAD, 0.8448683863227351, 0.002238632273545292, None, 0.83, None
ANX.to, 0.01, 0.0, 0.0, -0.06, 0.78, 18.849999999999998, -3.0, -2.0, 0.0, -9.77, 28.0, 65.0, 65.0, 0.33, 1.11, 18.84, CAD, 0.30834598080383935, 0.0009480803839232159, None, 0.29, None
AOI.to, 0.0, 0.0, 0.0, -0.1, 0.0, 534.76, -50.0, -7.0, 0.0, -5.21, 0.0, 461.0, 461.0, 0.0, 0.0, 2.95, USD, 1.1907567486502701, 0.00037486502699460143, None, 1.16, None
AP-UN.to, 0.44, 1.55, 0.035147392290249435, 3.92, 73.98, 4057.2000000000003, 363.0, 222.0, 0.0, 10.21, 428.0, 92.0, 92.0, 10.63, 84.61, 100.0, CAD, 43.401851109778065, -0.021889022195560884, None, 44.1, None
